customer_id,First name,Last name,gender,language,agree_for_promo,autopay_card,customer_category,status,data_of_birth,customer_since,email,region,termination_date,MSISDN
1,Levi,Landry,male,English,0,No, physical,active,23.10.1952,16.05.2020,Levi.Landry15335@yahoo.com,Manitoba,,+14317090854
2,Mila,Richard,female,English,0,Yes, physical,active,03.11.1979,28.09.2021,Mila.Richard7675@yahoo.com,British Columbia,,+17784902144
3,Riley,Evans,female,Chinese,0,Yes, physical,active,23.09.1994,10.11.2021,Riley.Evans82859@gmx.com,British Columbia,,+12501440436
4,Lucas,Bouchard,male,English,0,No, physical,active,25.07.2000,20.07.2021,Lucas.Bouchard3064@aol.com,New Brunswick,,+15061110508
5,Charlie,Gill,female,English,1,No, physical,active,17.08.2003,21.08.2020,Charlie.Gill83027@hotmail.com,Ontario,,+13434196092
6,Nathan,Evans,male,English,0,No, physical,active,03.09.2003,18.09.2020,Nathan.Evans87209@yahoo.com,Alberta,,+18258515559
7,Ella,Evans,female,French,1,Yes, physical,active,25.06.1965,20.05.2021,Ella.Evans5766@hotmail.com,Ontario,,+16133597711
8,Sophia,MacDonald,female,English,0,Yes, physical,active,04.06.2002,17.06.2020,Sophia.MacDonald25427@hotmail.com,British Columbia,,+17784508624
9,Logan,Lavoie,male,English,0,Yes, physical,active,23.06.1948,04.09.2021,Logan.Lavoie35135@mail.com,British Columbia,,+17782310390
10,Ellie,Gauthier,female,English,1,No, physical,active,28.02.1948,13.06.2021,Ellie.Gauthier92413@yahoo.com,Ontario,,+17053497990
11,William,Gagnon,male,English,0,Yes, physical,active,22.09.1968,23.02.2021,William.Gagnon36699@mail.com,Ontario,,+15481604685
12,Leah,Patel,female,English,1,No,business,inactive,28.02.1953,22.06.2021,Leah.Patel3101@aol.com,New Brunswick,,+15061614294
13,Owen,Evans,male,English,0,No, physical,active,22.08.1998,15.11.2020,Owen.Evans89267@gmail.com,Ontario,2019-01-30,+15486809727
14,Olivia,Leblanc,female,English,0,No, physical,active,12.07.1996,18.04.2021,Olivia.Leblanc16372@yahoo.com,Alberta,,+17809636679
15,Isla,Murphy,female,English,0,No,business,active,29.07.2003,29.02.2020,Isla.Murphy98269@gmx.com,Alberta,,+18252110752
16,Jacob,Johnson,male,French,1,No, physical,active,28.04.1954,09.01.2020,Jacob.Johnson81100@yahoo.com,New Brunswick,,+15067806354
17,Charlotte,Landry,female,English,1,No, physical,active,05.10.1993,11.01.2021,Charlotte.Landry28402@gmx.com,Quebec,,+15812575109
18,Scarlett,Michaud,female,English,1,Yes, physical,active,11.03.1942,20.07.2021,Scarlett.Michaud53647@aol.com,Ontario,,+12893688065
19,Mateo,Johnson,male,English,0,No, physical,active,16.10.1957,23.09.2021,Mateo.Johnson59135@gmx.com,Ontario,,+12492974365
20,Chloe,Jackson,female,English,0,No, physical,active,03.07.1972,15.08.2020,Chloe.Jackson31442@yahoo.com,Quebec,2021-01-12,+14502812542
21,Chloe,Mitchell,female,English,1,Yes, physical,active,28.10.1977,30.05.2021,Chloe.Mitchell16603@gmx.com,Ontario,,+14162472776
22,Scarlett,Lewis,female,English,1,Yes, physical,active,26.04.2001,22.03.2020,Scarlett.Lewis79102@mail.com,Quebec,,+14181773514
